No,Kode,Saham,Papan Pencatatan
378,Saham_378,2.250.691.100,Pengembangan
379,Saham_379,1.274.000.000,Pengembangan
380,Saham_380,14.545.267.990,Pengembangan
381,Saham_381,1.818.622.000,Utama
382,Saham_382,1.119.326.168,Pengembangan
383,Saham_383,30.000.000.000,Utama
384,Saham_384,13.006.125.000,Utama
385,Saham_385,442.589.871,Pemantauan Khusus
386,Saham_386,15.501.310.000,Utama
387,Saham_387,1.839.102.056,Pemantauan Khusus
388,Saham_388,1.730.103.217,Pengembangan
389,Saham_389,6.907.405.000,Pengembangan
390,Saham_390,585.000.000,Pemantauan Khusus
391,Saham_391,2.872.193.366,Utama
392,Saham_392,9.932.534.336,Utama
393,Saham_393,9.019.381.973,Pemantauan Khusus
394,Saham_394,4.772.138.237,Pengembangan
395,Saham_395,16.375.600.000,Utama
396,Saham_396,6.751.540.089,Utama
397,Saham_397,6.367.664.717,Utama
398,Saham_398,3.425.000.000,Pengembangan
399,Saham_399,16.508.568.358,Utama
400,Saham_400,12.499.385.782,Pemantauan Khusus
401,Saham_401,5.758.675.440,Utama
402,Saham_402,7.059.000.000,Pengembangan
403,Saham_403,662.400.000,Pengembangan
404,Saham_404,4.100.317.438,Pengembangan
405,Saham_405,15.537.591.429,Pemantauan Khusus
406,Saham_406,12.238.959.990,Pengembangan
407,Saham_407,20.452.176.844,Pemantauan Khusus
408,Saham_408,6.020.000.000,Pengembangan
409,Saham_409,13.564.835.000,Utama
410,Saham_410,4.705.249.440,Utama
411,Saham_411,9.525.000.000,Utama
412,Saham_412,1.170.909.181,Pengembangan
413,Saham_413,4.800.000.602,Pengembangan
414,Saham_414,1.310.000.000,Pengembangan
415,Saham_415,24.811.541.414,Pemantauan Khusus
416,Saham_416,6.320.776.836,Pengembangan
417,Saham_417,1.137.579.698,Pemantauan Khusus
418,Saham_418,1.353.435.000,Pengembangan
419,Saham_419,10.069.645.750,Pemantauan Khusus
420,Saham_420,10.223.647.156,Pemantauan Khusus
421,Saham_421,22.656.999.445,Utama
422,Saham_422,6.025.373.372,Utama
423,Saham_423,734.680.000,Pengembangan
424,Saham_424,402.133.334,Pengembangan
425,Saham_425,7.310.929.389,Pemantauan Khusus
426,Saham_426,4.823.076.400,Pemantauan Khusus
427,Saham_427,918.492.750,Pengembangan
428,Saham_428,3.552.213.000,Pengembangan
429,Saham_429,7.447.753.454,Utama
430,Saham_430,588.000.000,Pengembangan
431,Saham_431,1.011.774.750,Pemantauan Khusus
432,Saham_432,3.113.223.570,Utama
433,Saham_433,99.062.216.600,Utama
434,Saham_434,57.051.500.000,Utama
435,Saham_435,1.058.333.250,Pengembangan
436,Saham_436,8.257.402.931,Utama
437,Saham_437,3.410.000.000,Utama
438,Saham_438,10.320.000.000,Pengembangan
439,Saham_439,59.098.103.731,Utama
440,Saham_440,86.511.545.092,Pengembangan
441,Saham_441,3.507.420.034,Utama
442,Saham_442,49.643.627.934,Pemantauan Khusus
443,Saham_443,1.200.000.000,Pemantauan Khusus
444,Saham_444,7.109.300.000,Utama
445,Saham_445,26.007.494.645,Pemantauan Khusus
446,Saham_446,3.141.443.831,Pengembangan
447,Saham_447,2.808.000.000,Pengembangan
448,Saham_448,800.000.000,Pengembangan
449,Saham_449,4.509.864.300,Utama
450,Saham_450,10.398.175.200,Utama
451,Saham_451,383.331.363,Utama
452,Saham_452,75.422.200,Pengembangan
453,Saham_453,2.500.162.344,Pemantauan Khusus
454,Saham_454,3.730.135.136,Utama
455,Saham_455,38.150.000.000,Utama
456,Saham_456,15.217.075.658,Utama
457,Saham_457,1.553.430.759,Pengembangan
458,Saham_458,16.464.270.400,Pemantauan Khusus
459,Saham_459,4.155.602.595,Pengembangan
460,Saham_460,5.687.353.997,Pengembangan
461,Saham_461,1.240.923.111,Pengembangan
462,Saham_462,1.460.554.819,Pengembangan
463,Saham_463,2.393.710.348,Pemantauan Khusus
464,Saham_464,2.099.873.760,Utama
465,Saham_465,39.873.063.858,Pemantauan Khusus
466,Saham_466,4.460.988.262,Utama
467,Saham_467,3.481.481.480,Pengembangan
468,Saham_468,28.806.807.016,Pemantauan Khusus
469,Saham_469,8.715.466.600,Utama
470,Saham_470,668.000.089,Pengembangan
471,Saham_471,1.785.000.000,Pengembangan
472,Saham_472,2.510.706.263,Pemantauan Khusus
473,Saham_473,2.719.790.000,Utama
474,Saham_474,54.476.269.803,Pengembangan
475,Saham_475,2.420.547.025,Pengembangan
476,Saham_476,4.175.000.000,Pengembangan
477,Saham_477,2.003.000.000,Pengembangan
478,Saham_478,22.581.909.405,Pemantauan Khusus
479,Saham_479,1.428.571.500,Pengembangan
480,Saham_480,5.252.644.000,Pemantauan Khusus
481,Saham_481,5.500.000.000,Pemantauan Khusus
482,Saham_482,770.000.000,Pemantauan Khusus
483,Saham_483,6.347.220.000,Pengembangan
484,Saham_484,16.087.156.000,Utama
485,Saham_485,1.438.370.465,Pemantauan Khusus
486,Saham_486,56.780.478.486,Pemantauan Khusus
487,Saham_487,3.000.000.000,Pengembangan
488,Saham_488,937.500.000,Utama
489,Saham_489,3.803.526.210,Pengembangan
490,Saham_490,45.667.877.639,Utama
491,Saham_491,2.813.941.985,Pengembangan
492,Saham_492,15.000.000.000,Utama
493,Saham_493,9.843.750.000,Pengembangan
494,Saham_494,24.000.000.000,Utama
495,Saham_495,37.500.000.000,Pemantauan Khusus
496,Saham_496,1.829.800.000,Pengembangan
497,Saham_497,2.750.000.000,Pemantauan Khusus
498,Saham_498,1.475.363.179,Pengembangan
499,Saham_499,33.330.000.000,Pemantauan Khusus
500,Saham_500,8.215.366.379,Pengembangan
501,Saham_501,9.006.250.000,Pemantauan Khusus
502,Saham_502,2.387.922.900,Pengembangan
503,Saham_503,6.437.500.000,Utama
504,Saham_504,4.605.262.400,Utama
505,Saham_505,15.365.229.912,Pemantauan Khusus
506,Saham_506,9.677.752.680,Pengembangan
507,Saham_507,816.997.053,Pengembangan
508,Saham_508,3.800.000.310,Utama
509,Saham_509,11.004.929.322,Pemantauan Khusus
510,Saham_510,2.530.150.002,Pengembangan
511,Saham_511,7.250.000.000,Pengembangan
512,Saham_512,1.075.862.960,Pengembangan
513,Saham_513,124.835.258.434,Pemantauan Khusus
514,Saham_514,2.924.486.639,Pengembangan
515,Saham_515,25.250.000.000,Pemantauan Khusus
516,Saham_516,867.933.300,Utama
517,Saham_517,10.224.271.000,Pengembangan
518,Saham_518,9.572.000.000,Pengembangan
519,Saham_519,5.417.063.153,Utama
520,Saham_520,23.646.668.691,Utama
521,Saham_521,9.252.820.991,Pengembangan
522,Saham_522,7.500.000.000,Utama
523,Saham_523,1.000.000.000,Pengembangan
524,Saham_524,5.885.000.000,Pengembangan
525,Saham_525,5.284.811.100,Utama
526,Saham_526,1.166.666.700,Pemantauan Khusus
527,Saham_527,1.000.000.000,Pengembangan
528,Saham_528,1.400.000.000,Pemantauan Khusus
529,Saham_529,832.862.387,Pengembangan
530,Saham_530,2.032.540.000,Pemantauan Khusus
531,Saham_531,650.000.000,Pemantauan Khusus
532,Saham_532,550.000.000,Pengembangan
533,Saham_533,10.485.050.500,Pemantauan Khusus
534,Saham_534,1.899.852.850,Pengembangan
535,Saham_535,651.150.000,Pengembangan
536,Saham_536,7.626.663.000,Utama
537,Saham_537,2.700.000.000,Utama
538,Saham_538,3.393.434.905,Pengembangan
539,Saham_539,15.365.950.000,Utama
540,Saham_540,435.000.000,Pengembangan
541,Saham_541,3.021.875.000,Pengembangan
542,Saham_542,3.555.575.600,Utama
543,Saham_543,60.676.178.205,Utama
544,Saham_544,3.019.200.000,Pemantauan Khusus
545,Saham_545,421.640.000,Pengembangan
546,Saham_546,28.504.000.000,Utama
547,Saham_547,5.000.000.000,Pengembangan
548,Saham_548,1.818.384.820,Utama
549,Saham_549,16.198.599.990,Pengembangan
550,Saham_550,3.534.000.000,Pengembangan
551,Saham_551,8.318.823.600,Pemantauan Khusus
552,Saham_552,666.667.500,Pengembangan
553,Saham_553,3.554.445.700,Pengembangan
554,Saham_554,7.700.000.148,Pemantauan Khusus
555,Saham_555,10.887.566.758,Utama
556,Saham_556,9.350.000.000,Pemantauan Khusus
557,Saham_557,2.792.620.000,Pemantauan Khusus
558,Saham_558,2.724.036.581,Pengembangan
559,Saham_559,18.117.025.598,Utama
560,Saham_560,1.625.000.000,Pemantauan Khusus
561,Saham_561,5.405.188.966,Pengembangan
562,Saham_562,833.333.300,Pengembangan
563,Saham_563,1.497.576.771,Pengembangan
564,Saham_564,3.221.750.000,Pemantauan Khusus
565,Saham_565,9.942.500.000,Pengembangan
566,Saham_566,1.283.330.000,Pemantauan Khusus
567,Saham_567,36.897.901.455,Utama
568,Saham_568,7.500.000.000,Utama
569,Saham_569,1.912.774.405,Pengembangan
570,Saham_570,1.203.300.219,Pengembangan
571,Saham_571,1.375.000.000,Pengembangan
572,Saham_572,799.414.231,Pemantauan Khusus
573,Saham_573,1.146.170.959,Pemantauan Khusus
574,Saham_574,3.351.075.600,Pemantauan Khusus
575,Saham_575,1.428.571.400,Pengembangan
576,Saham_576,715.749.640,Pengembangan
577,Saham_577,3.232.122.640,Pengembangan
578,Saham_578,1.000.003.979,Pengembangan
579,Saham_579,870.171.478,Pengembangan
580,Saham_580,840.000.000,Pengembangan
581,Saham_581,650.000.000,Pemantauan Khusus
582,Saham_582,8.120.249.598,Pengembangan
583,Saham_583,2.010.526.400,Pemantauan Khusus
584,Saham_584,2.570.000.000,Pengembangan
585,Saham_585,8.001.111.504,Pengembangan
586,Saham_586,798.499.394,Pengembangan
587,Saham_587,3.559.455.924,Pemantauan Khusus
588,Saham_588,2.084.850.829,Pemantauan Khusus
589,Saham_589,2.433.379.958,Pemantauan Khusus
590,Saham_590,5.958.750.000,Pemantauan Khusus
591,Saham_591,8.388.870.206,Pemantauan Khusus
592,Saham_592,1.082.575.738,Pengembangan
593,Saham_593,1.304.272.051,Pengembangan
594,Saham_594,6.000.000.000,Utama
595,Saham_595,1.333.333.331,Pengembangan
596,Saham_596,1.359.934.021,Pengembangan
597,Saham_597,750.000.000,Pengembangan
598,Saham_598,500.000.000,Pengembangan
599,Saham_599,665.000.000,Pemantauan Khusus
600,Saham_600,940.720.000,Pengembangan
601,Saham_601,3.125.000.000,Pengembangan
602,Saham_602,42.197.950.841,Pemantauan Khusus
603,Saham_603,418.000.000,Pengembangan
604,Saham_604,1.800.000.000,Pemantauan Khusus
605,Saham_605,4.126.405.336,Pengembangan
606,Saham_606,2.100.000.000,Pengembangan
607,Saham_607,1.300.000.000,Pengembangan
608,Saham_608,10.546.185.701,Pemantauan Khusus
609,Saham_609,1.808.221.900,Pengembangan
610,Saham_610,2.000.000.000,Pemantauan Khusus
611,Saham_611,3.418.085.290,Pengembangan
612,Saham_612,1.524.680.000,Pengembangan
613,Saham_613,3.666.312.500,Utama
614,Saham_614,5.591.980.103,Pemantauan Khusus
615,Saham_615,1.666.666.500,Pengembangan
616,Saham_616,12.111.376.157,Pengembangan
617,Saham_617,1.000.000.000,Pengembangan
618,Saham_618,2.197.540.705,Pengembangan
